ticker,symbol,name,sector,price,per,pbv,div_yield,roe,net_margin,der,rev_growth,earn_growth,market_cap,hist_days,last_bar,avg_value_idr,ret_3m,ret_6m,above_sma50,above_sma200,rsi,debt_to_assets,nonhalal_ratio,sharia_status,last,ema_fast,ema_slow,sma200,atr,support,resist,rsi_t,signal,entry_lo,entry_hi,sl,tp1,tp2,tp3,risk_pct,cmf,data_completeness,s_value,s_quality,s_growth,s_momentum,s_liquidity,skor,kelayakan,sb_target,sb_upside,sb_rating,sb_flow,data_confidence,sb_tilt,macro_bias,theme,macro_tilt,saran,konfluensi,lot,risk_rp
AKRA,AKRA.JK,AKR Corporindo Tbk,Energy,1380.0,10.76,2.26,6.85,0.19524999,0.0433,0.38,0.604,0.253,27323682258944,244,2026-08-21,26794436650.0,0.022222222222222143,0.06563706563706573,1.0,1.0,45.63140837197385,0.15624797164171106,0.006318726723911185,SYARIAH OK,1380.0,1404.0710889970128,1379.2707817621576,1321.9,34.621295144531494,1375.0,1520.0,45.63140837197385,BUY ZONE,1378.4621295144532,1389.6571703055172,1292.7175439008288,1552.3772574848153,1725.483733207473,1898.5902089301308,0.06275289740477817,0.11390061389566068,1.0,53.690335638690165,44.44032446501515,65.87239969416711,75.96867933880715,41.06058508142495,63.76634861002657,LAYAK,1685.0,0.22101449275362328,buy,,beda:der,8.0,0.0,distribution,0.0,BELI,3,103,998478.1519682904
BSSR,BSSR.JK,Baramulti Suksessarana Tbk.,Energy,4470.0,7.2801304,39210.527,18.87,0.30877,0.12521,,0.095,0.305,11695754838016,244,2026-08-21,4274442416.6666665,0.1287878787878789,0.14322250639386191,1.0,1.0,73.3580145541279,0.0034798700188308058,0.002543682572549975,SYARIAH OK,4470.0,4375.876420976624,4249.834517042512,4037.95,47.078677845534855,4200.0,4480.0,73.3580145541279,BREAKOUT,4480.0,4503.5393389227675,4176.4606610772325,5087.078677845535,5694.15735569107,6301.236033536605,0.06775431672383202,0.08177995129586016,0.8888888888888888,69.20404205205979,59.606825270231695,39.16848833486218,75.76670614343935,33.02686870700735,63.18536161554117,TIDAK LAYAK (likuiditas tipis),,,,,yfinance,0.0,1.0,coal,5.0,HINDARI,3,30,981236.0335366047
PGAS,PGAS.JK,Perusahaan Gas Negara (Persero),Utilities,1520.0,9.05,0.76,8.34,0.10092,0.0973,0.37,-0.038,0.458,36847090663424,244,2026-08-21,52119037250.0,-0.1648351648351648,-0.3183856502242153,1.0,0.0,53.28850194947431,0.17630524158967004,0.016066597120534425,SYARIAH OK,1520.0,1506.241991667331,1542.1913369296954,1814.025,32.36907767488183,1470.0,1580.0,53.28850194947431,HINDARI (downtrend),1526.0067980922545,1551.90206023216,1453.8154611625591,1718.9430884639678,1895.6948399982402,2072.4465915325127,0.057305389837736496,-0.2896732240263728,1.0,50.0,50.0,50.0,50.83670006843275,50.0,63.16734001368655,LAYAK,1964.0,0.29210526315789465,buy,,"beda:pbv,net_margin,der",8.0,1.0,oil_gas,5.0,HINDARI,1,101,990674.650602969
INDF,INDF.JK,Indofood Sukses Makmur Tbk,Consumer Defensive,7375.0,5.57,0.79,4.19,0.12137,0.0873,0.99,0.118,-0.433,64755645546496,244,2026-08-21,54037520458.333336,0.09665427509293689,0.10074626865671643,1.0,1.0,63.14090426793477,0.3438751723108582,0.013466059762603635,"OK (waspada, 34% menuju 33%)",7375.0,7281.836574145325,6994.020116694136,6813.0,139.2773175293699,6775.0,7450.0,63.14090426793477,TUNGGU PULLBACK,6924.381457929451,7035.803311952947,6645.826822870711,7690.406704340986,8386.793291987837,9083.179879634685,0.04978442841368399,0.27304179258933603,1.0,54.1033557849105,22.966808517702123,39.62224430461193,86.254777479706,90.56239786141128,62.88551493039614,LAYAK,8422.0,0.1419661016949152,buy,,"beda:per,net_margin,der",6.839322033898304,0.0,consumer_defensive,0.0,TAHAN,1,25,974941.2227055905
HRTA,HRTA.JK,Hartadinata Abadi Tbk.,Consumer Cyclical,2340.0,8.103615,2.8846474,1.71,0.41946998,0.02101,111.814,0.652,0.341,10776314118144,244,2026-08-21,27018523000.0,0.0042918454935623185,-0.07509881422924902,1.0,1.0,67.91510359035146,0.32066807538880515,0.0001302271815118735,SYARIAH OK,2340.0,2158.6023466044035,2074.9854176321282,2150.5,106.53715757672535,1805.0,2380.0,67.91510359035146,TREND (tahan/add),2021.7168388437656,2106.946564905146,1751.7314212116373,2721.49341047311,3368.001403314092,4014.509396155074,0.15578615332601833,0.11298600815022282,1.0,32.68367820992193,45.70665787598682,74.23351453981755,66.05130790166142,56.02382275991798,62.3464461967698,LAYAK,,,,,yfinance,0.0,2.0,gold,10.0,TAHAN,2,28,994602.4023418238
MDKA,MDKA.JK,Merdeka Copper Gold Tbk.,Basic Materials,2950.0,1676.1364,4.6,44.0,0.04484,0.0926,2.46,0.235,,72029856333824,244,2026-08-21,139918594300.0,0.08455882352941169,-0.06645569620253167,1.0,1.0,58.170589996937046,0.36108705345911746,0.006156918668761083,"OK (waspada, 36% menuju 33%)",2950.0,2875.3648827755164,2794.2798774468465,2823.55,122.30250798016507,2550.0,3080.0,58.170589996937046,TREND (tahan/add),2733.1286234567638,2830.970629840896,2488.5236074964337,3405.792417347672,4017.304957248498,4628.817497149324,0.1094222065650004,-0.10391140068731372,0.8888888888888888,28.183375738202766,35.72009833755079,49.34322884131776,71.51207251487236,47.30063159731438,60.27486208770768,LAYAK,3961.0,0.3427118644067797,buy,,"beda:pbv,net_margin,der",8.0,1.5,gold/copper,7.5,BELI,3,29,993096.3647989407
BYAN,BYAN.JK,Bayan Resources Tbk,Energy,15600.0,34.817543,210810.81,2.86,0.34774,0.23377001,,0.255,0.671,520000012025856,244,2026-08-21,5399268458.333333,0.56,0.09859154929577474,1.0,1.0,68.2052842890296,0.0,0.008155351199989341,SYARIAH OK,15600.0,14077.673099287182,12459.603723539409,13836.875,951.4326278642512,11100.0,18650.0,68.2052842890296,TUNGGU PULLBACK,11983.887409607283,12745.033511898684,10081.022153878781,17216.766862860663,21973.93000218192,26731.093141503174,0.19090346871681585,0.24190896498508907,0.8888888888888888,9.231671941528615,72.61293596350667,52.185876230587425,87.30123082837899,63.41656025965435,60.26176361547089,LAYAK,,,,,yfinance,0.0,1.0,coal,5.0,AMATI,1,3,799203.4074059709
ITMG,ITMG.JK,Indo Tambangraya Megah Tbk,Energy,25200.0,7.4094543,14625.652,6.81,0.111190006,0.10496,5.2,0.151,1.004,27788046237696,244,2026-08-21,42336741208.333336,0.08737864077669899,0.13258426966292136,1.0,1.0,61.06191780813311,0.03685896836450251,0.021334246270945777,SYARIAH OK,25200.0,24869.155650237313,24197.703264288415,23698.375,458.758142322565,24175.0,25500.0,61.06191780813311,TREND (tahan/add),24220.875814232255,24335.330706985183,23050.807908482002,26491.49397590124,28785.284687514068,31079.075399126894,0.047396868342419525,-0.01648640055555663,1.0,53.64653805218364,47.091217866763465,50.6277564818402,75.74823960726157,45.93491953343507,59.81848830348038,LAYAK,,,,,yfinance,0.0,1.0,coal,5.0,TAHAN,1,7,899165.9589522271
CMRY,CMRY.JK,Cisarua Mountain Dairy Tbk.,Consumer Defensive,4700.0,16.58,5.12,4.33,0.32229,0.1844,0.006,0.234,0.2,37293012287488,244,2026-08-21,9199235650.0,0.03982300884955747,-0.13364055299539168,1.0,0.0,54.13580654552845,4.884940768663162e-05,0.017222766535966095,SYARIAH OK,4700.0,4659.081933436067,4605.300357217927,4984.95,118.6342709196047,4520.0,4810.0,54.13580654552845,NETRAL / AMATI,4545.983221758124,4640.890638493808,4308.714679918915,5198.471711815951,5791.643066413974,6384.814421011998,0.06440094115341914,0.028536266812768177,1.0,27.78784262286601,67.88486017560307,55.969600993084086,61.18951454018386,48.18108614072634,59.7786816777256,LAYAK,6512.0,0.38553191489361693,buy,,beda:div_yield,8.0,0.0,consumer_defensive,0.0,TAHAN,2,30,996527.8757246797
MEDC,MEDC.JK,Medco Energi Internasional Tbk.,Energy,1390.0,12.97,0.87,4.73,0.06968,0.1008,1.64,0.192,2.878,34306063859712,244,2026-08-21,71497745025.0,0.03731343283582089,-0.120253164556962,1.0,0.0,59.433086749827375,0.4662261396513648,0.014235467208551138,LEWAT BATAS UTANG (47% > 45%),1390.0,1346.1279663105402,1303.9173471534891,1429.075,59.320896586339266,1225.0,1445.0,59.433086749827375,NETRAL / AMATI,1274.2568988603196,1321.7136161293909,1155.615105687641,1600.5218300851852,1897.1263130168813,2193.7307959485775,0.11373592182786631,-0.03220509907102444,1.0,45.99716941607693,19.651005154509523,75.45942295521871,49.87514997321341,55.446966138093416,59.02303200128611,TIDAK LAYAK (rasio syariah),2049.0,0.4741007194244604,buy,,"beda:pbv,net_margin,der",8.0,1.0,oil_gas,5.0,HINDARI,1,60,996591.0626504987
MAPA,MAPA.JK,Map Aktif Adiperkasa Tbk.,Consumer Cyclical,670.0,9.85729,1.9958891,59.0,0.21906,0.093310006,26.274,0.155,0.221,19097681133568,244,2026-08-21,15342173650.0,0.15517241379310343,-0.007407407407407418,1.0,1.0,57.165846762086524,0.1324414908187068,0.0005498984617314084,SYARIAH OK,670.0,655.0583572283502,632.8482847354777,657.1,28.777175263930694,580.0,705.0,57.165846762086524,TREND (tahan/add),618.4596971035123,641.4814373146569,560.9053465756509,776.7341610551313,920.6200373747848,1064.5059136944383,0.11368117745613862,0.05857396736804246,1.0,49.32145336683367,58.223687460530165,45.52705603526515,76.20458335890562,61.19042973892144,58.13482474475008,LAYAK,,,,,yfinance,0.0,0.0,consumer_cyclical,0.0,TAHAN,2,124,999143.5251636739
MBMA,MBMA.JK,Merdeka Battery Materials Tbk.,Basic Materials,565.0,51.67,1.96,,0.07353,0.0658,0.45,0.243,,61017413386240,244,2026-08-21,62885664095.0,0.17219917012448138,-0.226027397260274,1.0,0.0,59.099145672084305,0.2529736284929267,0.004780817124631477,SYARIAH OK,565.0,534.3585780891995,528.8850469705906,613.045,30.11198047690779,474.0,585.0,59.099145672084305,NETRAL / AMATI,513.8290567321367,537.9186411136629,453.60509577832113,679.4449493551294,830.0048517396683,980.5647541242072,0.1423370761254581,-0.040806637607775975,0.7777777777777778,52.823968973402806,42.798986337066886,49.51581104359923,56.4308359550692,42.840306147666794,57.045323597321165,LAYAK,775.0,0.37168141592920345,buy,,"beda:pbv,net_margin,der",8.0,0.0,nickel,0.0,TAHAN,1,118,994899.8349570333
BRMS,BRMS.JK,Bumi Resources Minerals Tbk.,Basic Materials,695.0,139.0,77222.23,,0.0398,0.17815,28.081,-0.543,,98539904434176,244,2026-08-21,259476450541.66666,0.10317460317460325,-0.35944700460829493,1.0,0.0,67.91819583091163,0.14479869779369908,0.0023769466834892058,SYARIAH OK,695.0,632.0483073232101,607.5191863422315,836.65,37.40031704128034,535.0,705.0,67.91819583091163,NETRAL / AMATI,588.8190278215914,618.7392814546156,514.0183937390307,794.5207715486331,981.5223567550347,1168.5239419614363,0.15390590899055057,-0.012338014771346299,0.7777777777777778,43.837066485374045,47.58308635475661,32.559609669445344,51.64106725035259,56.32009841592081,56.51520787290811,LAYAK,,,,,yfinance,0.0,2.0,gold/silver,10.0,AMATI,0,95,994848.4332980567
ASGR,ASGR.JK,Astra Graphia Tbk,Industrials,1790.0,7.9746947,1.240669,13.54,0.15494001,0.10025,1.304,-0.01,0.167,2414317142016,244,2026-08-21,2044958000.0,0.19333333333333336,0.0028011204481792618,1.0,1.0,51.60243762171055,0.007754485642097703,0.023654969860785854,SYARIAH OK,1790.0,1789.5122932063416,1740.8027591092045,1523.45,44.83130555878208,1740.0,1970.0,51.60243762171055,TREND (tahan/add),1744.4831305558782,1754.2521507768392,1628.7244952122494,1964.9592869031148,2189.115814697025,2413.2723424909354,0.06438309182960356,-0.120046734649476,1.0,43.333333333333336,56.666666666666664,70.0,77.46713375967494,30.0,55.49342675193499,TIDAK LAYAK (likuiditas tipis),,,,,yfinance,0.0,0.0,tech,0.0,HINDARI,1,79,991668.4789602597
ARCI,ARCI.JK,Archi Indonesia Tbk.,Basic Materials,1395.0,15.910128,87187.49,2.96,0.36150002,0.22371,123.001,0.508,1.85,35202822832128,244,2026-08-21,48551363183.333336,0.15289256198347112,-0.1842105263157895,1.0,0.0,72.17044371156851,0.48174612484254975,0.0005314956654670875,LEWAT BATAS UTANG (48% > 45%),1395.0,1256.2583140526783,1165.575197527679,1396.125,70.71947484728987,1020.0,1425.0,72.17044371156851,TUNGGU PULLBACK,1130.215460104034,1186.7910399818659,984.6402625763551,1527.4450674303266,1889.3149373329743,2251.184807235622,0.1552323139125712,-0.1430833606988463,1.0,37.78049072761945,45.08191815656386,49.522811133504796,47.7652283024261,36.71924494529456,53.204956293350946,TIDAK LAYAK (rasio syariah),,,,,yfinance,0.0,2.0,gold/silver,10.0,HINDARI,1,49,990538.8092870028
KLBF,KLBF.JK,Kalbe Farma Tbk,Healthcare,810.0,10.174602,1.5064919,2.42,0.14768,0.09568,3.208,0.182,-0.004,36651577376768,244,2026-08-21,65859327766.666664,0.012499999999999956,-0.26696832579185525,1.0,0.0,60.99301877769345,0.009683691002167212,0.0050728751091592295,SYARIAH OK,810.0,789.0052118659345,773.993523602987,985.7,29.783072092208265,690.0,835.0,60.99301877769345,NETRAL / AMATI,759.1019875568829,782.9284452306495,675.1084639538959,971.7636429011692,1169.5337621993513,1367.3038814975334,0.12775954401888934,0.090077531025452,1.0,50.0,50.0,50.0,61.01565753331615,50.0,52.20313150666323,LAYAK,,,,,yfinance,0.0,0.0,pharma,0.0,AMATI,1,92,991943.8277461325
SIDO,SIDO.JK,Industri Jamu dan Farmasi Sido ,Consumer Defensive,350.0,9.5,3.33,10.22,0.30396998,0.2298,0.053,-0.205,-0.493,10302320017408,244,2026-08-21,10421961236.666666,-0.1421568627450981,-0.33333333333333337,0.0,0.0,38.37818468534536,0.0011162790697674418,0.007597448708335672,SYARIAH OK,350.0,353.0177666828139,373.54769357249324,477.125,6.565454208060547,344.0,390.0,38.37818468534536,HINDARI (downtrend),370.26496646846294,375.51732983491144,340.7172728959697,439.20853492554033,504.8693762785874,570.5302176316345,0.08788816325579119,-0.348078415100491,1.0,54.471696814989116,71.4238096032334,19.042073456037762,19.573766227695547,34.10041422521803,51.36000300228311,LAYAK,523.0,0.4942857142857142,buy,,stockbit✓,8.0,0.0,pharma,0.0,HINDARI,1,287,998761.6341476277
JSMR,JSMR.JK,Jasa Marga (Persero) Tbk,Industrials,2790.0,5.776995,0.5461797,5.6,0.07721,0.1196,118.716,-0.081,-0.165,20249460080640,244,2026-08-21,15835638733.333334,-0.05423728813559325,-0.25,1.0,0.0,54.591042947202425,0.4700563644734906,0.009924340872793725,LEWAT BATAS UTANG (47% > 45%),2790.0,2762.2882699947245,2788.918352549899,3204.6,57.832873593068065,2660.0,3170.0,54.591042947202425,HINDARI (downtrend),2760.0019157533648,2806.2682146278194,2631.083563203466,3104.5879312427646,3420.2575099356304,3735.927088628496,0.05659354968284571,0.04061369047016186,1.0,56.666666666666664,43.333333333333336,30.0,54.94657364057607,70.0,50.98931472811522,TIDAK LAYAK (rasio syariah),,,,,yfinance,0.0,0.0,infra,0.0,HINDARI,1,57,998552.5131188146
